Grav 543.78784,576.9513,0.0,1.0,16.0,0.001222021,0.3054753,0.0,103.99999
Grav 484.0131,488.4055,0.0,1.0,16.0,0.17811379,-0.11282161,0.0,198.66667
Grav 475.27783,552.9059,0.0,1.0,16.0,-0.0833128,-0.019936979,0.0,68.16667
Grav 493.98853,537.64294,0.0,1.0,16.0,0.19373399,0.25139505,0.0,132.16669
Grav 497.34995,512.6731,0.0,1.0,16.0,-0.0044225287,0.23633145,0.0,76.66667
Grav 340.41928,540.71155,0.0,1.0,16.0,-0.19578847,0.14495163,0.0,100.49999
Grav 411.33353,539.0984,0.0,1.0,16.0,-0.36824453,-0.10266232,0.0,26.666664
Grav 502.10785,562.11383,0.0,1.0,16.0,0.26277718,0.24318343,0.0,180.99998
Grav 462.75464,519.57526,0.0,1.0,16.0,0.17469469,-0.11744106,0.0,85.5
Grav 459.11523,553.37463,0.0,1.0,16.0,-0.24760087,-0.08224213,0.0,103.5
Grav 509.20486,555.5669,0.0,1.0,16.0,-0.21580537,0.11456179,0.0,210.66667
Grav 539.79956,463.05557,0.0,1.0,16.0,0.31722748,0.02285664,0.0,245.66667
Grav 522.9647,557.5345,0.0,1.0,16.0,0.44075042,-0.21137382,0.0,138.66666
Grav 477.433,523.79047,0.0,1.0,16.0,0.4771284,-0.2010149,0.0,194.66667
Grav 535.5774,449.10153,0.0,1.0,16.0,-0.13438497,-0.22124556,0.0,178.33333
Grav 454.92422,556.79266,0.0,1.0,16.0,0.42742762,-0.17300037,0.0,29.666664
Grav 451.5044,545.7332,0.0,1.0,16.0,0.27630863,0.27871865,0.0,194.5
Grav 470.3955,518.017,0.0,1.0,16.0,0.2916769,-0.009320179,0.0,197.16666
Grav 401.32477,556.44824,0.0,1.0,16.0,-0.12156009,-0.44563255,0.0,75.166664
Grav 531.37964,454.99295,0.0,1.0,16.0,-0.304902,0.1361269,0.0,240.50002
Grav 541.071,455.31876,0.0,1.0,16.0,-0.2745946,0.17475598,0.0,232.83333
Grav 391.28653,534.2831,0.0,1.0,16.0,-0.24171065,0.06542876,0.0,155.16667
Grav 404.12018,393.6143,0.0,1.0,16.0,0.019487822,-0.023141488,0.0,49.666668
Grav 341.86,543.92346,0.0,1.0,16.0,-0.37011904,0.45788753,0.0,152.33334
Grav 391.1901,549.33185,0.0,1.0,16.0,0.07214824,0.031113189,0.0,122.0
Grav 362.1128,532.76904,0.0,1.0,16.0,-0.29796067,-0.3630104,0.0,248.33333
Grav 465.60364,498.17303,0.0,1.0,16.0,0.4560019,-0.07629957,0.0,239.66667
Grav 527.9228,541.1212,0.0,1.0,16.0,-0.14047176,-0.29981562,0.0,82.0
Grav 492.60144,514.15936,0.0,1.0,16.0,-0.36782137,-0.04382756,0.0,43.166668
